Car Year,Brand,Model,Scale,Color,Maker,Year,Code,Price,Notes,Total Models:,Stats,,,,,,,,,
2003,Lamborghini,Gallardo 5.0,1:32,Yellow,Kinsmart,2023,Gal-2,$7.0,for the interior,,,,,,,,,,,
2003,Lamborghini,Gallardo 5.0,1:64,White,Unbranded,2023,Gal-3,$0.5,,,,,,,,,,,,
2005,Lamborghini,Gallardo Spyder,1:43,Blue,NewRay,2022,GalSpy-1,$15.0,,,,,,,,,,,,
2007,Lamborghini,Gallardo Nera,1:32,Black,Kinsmart/LAMBOMODELS,2022,GalNera-1,$6.0,,,,,,,,,,,,
2004,Lamborghini,Gallardo Polizia Special,1:43,Blue,Bburago,201X,GalPoliz-1,-,,,,,,,,,,,,
2005,Lamborghini,Gallardo SE,1:43,Yellow,Kyosho,2022,GalSE-1,$45.0,,,,,,,,,,,,
2007,Lamborghini,Gallardo Superleggera,1:14,Yellow,Rastar,2013,GalSuper-1,-,,,,,,,,,,,,
2007,Lamborghini,Gallardo Superleggera,1:43,Orange,Mondo Motors,2020,GalSuper-2,$5.0,,,,,,,,,,,,
2008,Lamborghini,Gallardo LP560-4,1:64,Yellow,Siku,201X,Gal560-1,-,,,,,,,,,,,,
2008,Lamborghini,Gallardo LP560-4,1:64,Orange,Majorette,2018,Gal560-2,-,,,,,,,,,,,,
2008,Lamborghini,Gallardo LP560-4 Polizia,1:64,Blue,Matchbox,2022,Gal560Poliz-1,$5.0,,,,,,,,,,,,
2009,Lamborghini,Gallardo LP560-4 Spyder,1:43,Yellow,Norev,2023,Gal560Spy-1,$25.0,,,,,,,,,,,,
2010,Lamborghini,Gallardo  LP550-2 Valentino Balboni,1:64,Green,Majorette,2020,Gal550Val-1,$5.0,,,,,,,,,,,,
2013,Lamborghini,Gallardo LP550-2 Indonesia Limited Edition,1:64,Green,RMZ City,2024,Gal550ID-1,$4.0,,,,,,,,,,,,
2010,Lamborghini,Gallardo LP570-4 Superleggera,1:36,Green,RMZ City,2020,Gal570Super-1,-,,,,,,,,,,,,
2010,Lamborghini,Gallardo LP 570-4 Superleggera,1:36,White,RMZ City,2023,Gal570Super-2,$5.0,unused mod for performante,,,,,,,,,,,
2011,Lamborghini,Gallardo LP570-4 Spyder Performante,1:14,White,Rastar,2024,Gal570Perf-1,$70.0,,,,,,,,,,,,
2012,Lamborghini,Gallardo LP570-4 Superleggera Edizione Tecnica,1:32,White,RMZ City,2023,Gal570Tecnica-1,$15.0,,,,,,,,,,,,
2011,Lamborghini,Gallardo LP570-4 Blancpain Edition,1:64,Black,Top Mark/LAMBOMODELS,2020/2023,Gal570Blanc-1,$3.0,,,,,,,,,,,,
2012,Lamborghini,Gallardo LP550-2 GZ8 Edizione Limitata,1:36,White,LAMBOMODELS,2023,Gal550GZ8-1,$15.0,Made from a 'batman' Gallardo STS,,,,,,,,,,,
2011,Lamborghini,Gallardo LP570-4 Super Trofeo Stradale,1:43,Red,Leo Models,2023,Gal570STS-1,$16.0,,,,,,,,,,,,
2013,Lamborghini,Gallardo LP570-4 Super Trofeo Asia,1:36,Yellow,LAMBOMODELS,2024,Gal570STAsia-1,$4.0,,,,,,,,,,,,
2009,Lamborghini,Gallardo LP560-4 Super Trofeo,1:43,White,Mondo Motors,2023,Gal560ST-1,$12.0,,,,,,,,,,,,
2013,Lamborghini,Gallardo LP570-4 Squadra Corse,1:43,Gray,Leo Models,2020,Gal570-4SC-1,$15.0,,,,,,,,,,,,
2012,Lamborghini,Gallardo LP600+ GT3,1:43,White,Leo Models,2020,Gal600GT3-1,$15.0,,,,,,,,,,,,
2005,Lamborghini,Concept S,1:32,White,Unbranded,2019,GalConceptS-1,$7.0,,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:36,Yellow,Kinsmart,201X,Hur1,$3.0,,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:43,Green,Bburago,2016,Hur2,$7.7,,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:64,Orange,"Unbranded (""Hot Wheel"")",2020,Hur3,$1.5,,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:64,Green,"Unbranded (""Hot Wheel"")",2021,Hur4,$2.0,100th car,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:87,Gray,LAMBOMODELS,2022,Hur5,$0.0,paper,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4,1:222,Red,LAMBOMODELS,2022,Hur6,$0.0,paper,,,,,,,,,,,
2015,Lamborghini,Huracan LP 610-4 Safety Car,1:64,White,Unifortune/LAMBOMODELS,2024,HurSafety-1,$4.0,,,,,,,,,,,,
2015,Lamborghini,Huracan Zhong,1:64,Yellow,Unifortune/LAMBOMODELS,2025,HurZhong-1,$3.0,,,,,,,,,,,,
2017,Lamborghini,Huracan LP 610-4 Avio,1:36,Gray,Kinsmart,2018,HurAvio-1,$4.0,,,,,,,,,,,,
2014,Lamborghini,Huracan LP 610-4 Polizia,1:36,Blue,Kinsmart,201X,HurPoliz-1,$3.0,,,,,,,,,,,,
2015,Lamborghini,Huracan LP 610-4 Spyder,1:32,Blue,MSZ,2019,HurSpy-1,$14.0,,,,,,,,,,,,
2016,Lamborghini,Huracan LP 610-4 Airport,1:64,Yellow,Majorette,2024,HurAir-1,$10.0,,,,,,,,,,,,
2016,Lamborghini,Huracan LP 580-2,1:72,Gray,LAMBOMODELS,2022,Hur580-1,$0.0,paper,,,,,,,,,,,
2016,Lamborghini,Huracan LP 580-2 LB-Works,1:64,White,Hot Wheels,2022,Hur580LB-1,$4.0,,,,,,,,,,,,
2015,Lamborghini,Huracan LP 620-2 Super Trofeo,1:36,Green,Kinsmart,2018,HurST-1,$4.0,,,,,,,,,,,,
2015,Lamborghini,Huracan LP 620-2 Super Trofeo,1:64,White,"Unbranded (""Hot Wheel"")",2020,HurST-2,$1.5,,,,,,,,,,,,
2015,Lamborghini,Huracan LP 620-2 Super Trofeo,1:64,White,"Unbranded (""Hot Wheel"")",2020,HurST-3,$1.5,,,,,,,,,,,,
2019,Lamborghini,Huracan LP 620-2 Super Trofeo,1:64,White,Unbranded,2025,HurST-4,$1.5,police one,,,,,,,,,,,
2019,Lamborghini,Huracan LP 620-2 Super Trofeo EVO,1:32,Gray,CHIMEIMODEL,2022,HurSTEVO-1,$9.0,,,,,,,,,,,,
2022,Lamborghini,Huracan LP 620-2 Super Trofeo EVO2,1:43,Green,Bburago,2023,HurSTEVO2-1,$20.0,,,,,,,,,,,,
2015,Lamborghini,Huracan GT3,1:43,Green,Carrera,2024,HurGT3-1,$9.0,,,,,,,,,,,,
2019,Lamborghini,Huracan GT3 EVO,1:64,Green,MiniGT,2024,HurGT3EVO-1,$15.0,,,,,,,,,,,,
2022,Lamborghini,Huracan GT3 EVO2,1:64,Green,MiniGT,2024,HurGT3EVO2-1,$15.0,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:24,Orange,Bburago,2022,HurPerf-1,$24.0,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:43,Green,Bburago,2022,HurPerf-2,$7.5,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:64,White,Maisto,2025,HurPerf-3,$15.0,BullBar,,,,,,,,,,,
2018,Lamborghini,Huracan LP640-4 Performante Spyder,1:64,Green,Maisto,2025,HurPerfSpy-1,$12.0,,,,,,,,,,,,
2019,Lamborghini,Huracan EVO,1:43,Red,Airfix/LAMBOMODELS,2024,HurEVO1,$18.0,,,,,,,,,,,,
2019,Lamborghini,Huracan EVO Spyder,1:50,Green,LAMBOMODELS,2025,HurEVOSpy-1,$2.5,First model of 2025,,,,,,,,,,,
2020,Lamborghini,Huracan EVO Airport,1:64,Green,MiniGT,2024,HurEVOAir-1,$15.0,,,,,,,,,,,,
2020,Lamborghini ,Huracan EVO RWD,1:43,Yellow,Airfix/LAMBOMODELS,2024,HurEVORWD-1,$18.0,,,,,,,,,,,,
